"statefp","countyfp","tract","pop","diabetes_num","diabetes_frac"
11,1,6900,1875.58956522775,159.653279805922,0.0851216506882923
11,1,7000,2010.75853005725,144.254888681519,0.071741527649972
11,1,7100,2613.81948969451,269.965141899296,0.103283774171738
11,1,7200,3687.06792112802,225.272765312379,0.0610980785088057
11,1,7301,1642.36334921471,66.8532395231735,0.0407055110887242
11,1,7304,2464.85568227899,317.313745400537,0.128735222788846
11,1,7401,1466.8398338976,202.668297255241,0.138166616812364
11,1,7403,2116.13532847173,233.180497608769,0.110191675584932
11,1,7404,2150.67549100811,260.700847607555,0.121218123653492
11,1,7406,1916.99827150502,204.227953020652,0.106535282820216
11,1,7407,2071.04903941669,257.061687795178,0.12412148766288
11,1,7408,1821.96646696582,196.171753039489,0.107670342235321
11,1,7409,2552.9976156974,286.201293736874,0.112104019203595
11,1,7502,3346.57667129617,436.822717846569,0.130528226528688
11,1,7503,1601.97803530965,177.848518742619,0.111018075668086
11,1,7504,1588.10174238164,208.61205222065,0.131359374940172
11,1,7601,3135.97418050557,471.130517471853,0.15023418253906
11,1,7603,3240.02085679478,458.071981921498,0.141379331235124
11,1,7604,3190.30740580975,389.666398266372,0.122140705800565
11,1,7605,2872.59087210656,378.626069410794,0.131806472368666
11,1,7703,3326.86147202303,449.683301571335,0.135167425921671
11,1,7707,3122.46059170865,375.804168849514,0.120355135897446
11,1,7708,2062.426026185,269.657328362458,0.130747636491603
11,1,7709,1514.10616558304,240.808118889597,0.159043087178018
11,1,7803,2425.47611517887,334.731145886404,0.138006366581647
11,1,7804,2134.11926303758,315.054587279388,0.147627451162667
11,1,7806,1583.19893266152,244.400206461139,0.154371128870253
11,1,7807,1595.64734373477,219.330245768727,0.137455338505664
11,1,7808,2935.00198109898,330.088149110687,0.112466073698216
11,1,7809,1960.68717820804,278.798993325959,0.142194530787296
11,1,7901,3176.89857756837,393.169642297818,0.123758953173367
11,1,7903,1316.15096013999,166.78461293908,0.126721491675499
11,1,8001,2491.12443314508,188.055825391683,0.0754903379733059
11,1,8002,3084.82613233472,236.058783085815,0.0765225568506049
11,1,8100,2758.11226327144,172.962193666841,0.0627103530085061
11,1,8200,2523.18703750208,150.050767365244,0.0594687453347859
11,1,8301,2160.48661334249,129.649926264946,0.0600095948127005
11,1,8302,1975.61932465579,133.059963085272,0.0673510131353137
11,1,8402,1846.66703671021,191.949745789293,0.103943884833319
11,1,8410,1231.33379305241,93.3012271116769,0.0757724896678
11,1,8701,2063.41167277701,193.88976172863,0.0939656222200619
11,1,8702,1492.78866683813,178.199098316478,0.11937329260003
11,1,8802,3820.09100033064,468.565749190276,0.122658268912892
11,1,8803,621.507130700709,70.5197274502731,0.113465677168928
11,1,8804,2197.83371072254,285.610923476527,0.129951106893629
11,1,8903,2492.55023341674,337.853005399697,0.135545113944033
11,1,8904,2550.68444852276,355.295848609049,0.139294317184088
11,1,9000,2548.78019149986,482.012607502812,0.189115016316557
11,1,9102,3493.49441798612,401.03441897253,0.114794635682776
11,1,9201,1026.27417600633,104.02421055645,0.101361032936883
11,1,9203,2179.10712211605,203.996037992107,0.0936145065663474
11,1,9204,2205.02098221858,309.819501431439,0.140506373376871
11,1,9301,2635.14302082811,306.231328468406,0.116210515348868
11,1,9302,845.553823696869,93.350816096997,0.110401979721238
11,1,9400,3705.16018089322,456.559637824565,0.123222645050261
11,1,9501,3571.73399392048,335.131704801316,0.0938288532605593
11,1,9503,2442.57510816917,322.13261634417,0.131882379078867
11,1,9504,2295.43027579573,291.357059555302,0.126929169937127
11,1,9505,2270.1561691924,322.940279206358,0.142254653485466
11,1,9507,1256.99856133952,173.965714749765,0.138397703943574
11,1,9508,2983.04819546859,372.378301889577,0.124831473542814
11,1,9509,2724.85955057799,346.270610487133,0.127078333418573
11,1,9601,1549.18251455346,209.308589770456,0.135109057715377
11,1,9602,2070.99821194431,276.120290202344,0.133327150458094
11,1,9603,2494.41499345214,353.081462523105,0.141548805411267
11,1,9604,1700.18003740059,262.782753680087,0.154561721640877
11,1,9700,2254.46363873647,279.15269610087,0.1238222215273
11,1,9801,1206.22957068401,161.26289821614,0.133691713530694
11,1,9802,1053.99819900016,129.356291138107,0.122729138684313
11,1,9803,2003.45938393708,296.588283700781,0.148038081569662
11,1,9804,1824.65563608182,213.944507526467,0.117251991716027
11,1,9807,2391.61741809404,313.891515105449,0.131246541662838
11,1,9810,1620.86394089193,196.569876016358,0.12127475419571
11,1,9811,3201.19084323706,372.816000929167,0.116461660421399
11,1,9901,1908.08871059535,268.604780532544,0.140771641822007
11,1,9902,2344.43575586542,363.678004963286,0.155123894546233
11,1,9903,1316.00031814337,152.489386516343,0.115873365996961
11,1,9904,1438.6012812133,172.106220479897,0.119634413459402
11,1,9905,2027.45012290437,231.121619685122,0.113996204924655
11,1,9906,1151.26915868999,162.338216529002,0.141008047773749
11,1,9907,1942.01957510299,233.081425055084,0.120020121343382
11,1,10100,2336.16946343667,199.50818064502,0.0853997039887376
